12.32,0.2961764705882354,7.91,0.0,48.81,3.93,267.17,4.55,336.39,2.0
12.32,0.2967401960784317,8.02,0.0,48.72,39.14,268.01,12.9,340.49,2.0
12.38,0.2973039215686273,9.84,0.0,41.28,109.76,269.53,34.53,356.75,1.0
12.39,0.29786764705882357,12.09,1.5,38.97,200.87,272.11,52.33,374.4,1.0
12.41,0.2984313725490199,12.81,1.47,35.97,304.35,275.82,70.51,393.24,1.0
12.48,0.29899509803921626,15.6,1.86,32.3,411.97,280.95,89.21,416.71,1.0
12.56,0.2995588235294118,16.21,1.62,30.16,519.84,284.75,105.66,436.39,1.0
12.66,0.3001225490196081,17.84,1.82,27.49,619.22,290.21,121.51,458.66,1.0
12.79,0.3006862745098037,19.29,2.01,23.7,714.06,294.52,136.13,480.73,1.0
12.91,0.30125,21.07,1.76,19.91,795.42,301.1,148.14,503.77,1.0
13.05,0.30181372549019636,22.46,1.9,14.54,864.03,305.09,159.29,524.26,1.0
13.11,0.3023774509803927,23.46,2.22,12.89,926.11,308.91,168.29,541.39,1.0
13.21,0.30294117647058827,24.11,2.43,11.49,973.03,312.39,175.69,555.95,1.0
13.33,0.3035049019607846,25.09,1.8,9.51,1003.54,317.95,179.43,574.98,1.0
13.42,0.3040686274509802,25.34,2.85,8.64,1009.14,317.51,179.19,578.91,1.0
13.52,0.3046323529411765,26.2,2.95,8.46,1024.96,320.53,182.9,583.69,1.0
13.59,0.30519607843137286,26.31,4.15,7.99,1020.23,321.43,181.28,579.14,1.0
13.64,0.3057598039215692,26.72,2.77,7.75,990.25,324.49,175.8,587.92,1.0
13.68,0.30632352941176477,26.64,4.9,8.25,925.38,326.62,164.38,573.9,1.0
13.68,0.3068872549019611,26.99,3.43,8.35,903.17,326.93,163.43,573.47,1.0
13.69,0.3074509803921567,27.18,3.27,7.52,822.08,328.33,150.97,560.01,1.0
13.66,0.308014705882353,27.32,2.17,7.44,783.59,329.13,146.48,554.69,1.0
13.6,0.30857843137254937,27.06,2.56,8.31,607.97,337.85,114.74,529.4,1.0
13.55,0.30914215686274565,27.26,2.35,7.88,609.86,336.04,118.86,527.06,1.0
13.46,0.3097058823529412,27.55,2.04,7.26,494.08,326.49,98.44,518.23,2.0
13.51,0.31026960784313756,27.34,1.67,7.01,335.48,333.31,68.11,500.57,2.0
13.42,0.31083333333333313,27.45,0.66,6.35,191.49,345.11,41.06,478.2,2.0
13.3,0.31139705882352947,27.27,1.34,7.11,187.06,342.19,41.86,467.33,2.0
13.17,0.31196078431372576,26.09,2.11,9.26,66.53,332.54,16.68,447.04,2.0
13.04,0.3125245098039221,25.11,1.41,9.86,2.61,321.59,3.83,427.65,2.0
12.88,0.31308823529411767,23.98,0.11,10.23,0.0,317.9,4.43,409.72,2.0
12.75,0.313651960784314,21.85,0.9,14.09,0.0,313.48,1.88,401.62,2.0
12.67,0.3142156862745096,19.98,1.6,15.5,0.0,308.81,2.32,393.64,2.0
12.6,0.3147794117647059,19.7,1.19,16.7,0.0,307.5,1.93,390.56,2.0
12.55,0.31534313725490226,19.92,0.54,13.49,0.0,306.18,3.47,386.33,2.0
12.48,0.3159068627450986,20.77,1.86,12.64,0.0,321.03,2.02,389.88,2.0
12.46,0.31647058823529417,20.2,2.11,13.48,0.0,330.26,2.3,391.75,2.0
12.43,0.3170343137254905,20.04,2.09,13.54,0.0,331.35,1.8,390.21,2.0
12.42,0.3175980392156861,20.0,2.49,13.68,0.0,322.15,1.82,392.0,2.0
12.4,0.3181617647058824,19.86,2.0,13.55,0.0,320.15,1.99,387.84,2.0
12.39,0.31872549019607876,19.61,1.97,13.91,0.0,325.04,1.33,386.21,2.0
12.38,0.3192892156862751,19.09,2.37,14.94,0.0,332.14,1.61,387.54,2.0
12.4,0.3198529411764707,18.91,1.76,15.54,0.0,339.2,0.88,390.14,2.0
12.38,0.320416666666667,18.7,2.08,15.28,0.0,334.2,1.81,386.91,2.0
12.37,0.3209803921568626,19.1,1.89,14.38,0.0,335.64,0.81,387.89,2.0
12.37,0.32154411764705887,17.47,1.08,17.76,0.0,312.95,0.66,377.92,2.0
12.35,0.3221078431372552,17.99,2.53,15.45,0.0,315.09,1.82,381.49,2.0
12.35,0.32267156862745155,16.74,1.64,18.68,0.0,311.99,0.37,376.86,2.0
12.38,0.3232352941176471,16.41,1.99,18.31,0.01,314.71,1.8,377.45,2.0
12.36,0.3237990196078434,16.07,1.68,19.3,26.39,306.6,7.54,377.42,2.0
12.39,0.324362745098039,15.64,1.25,21.16,94.41,307.84,23.11,384.38,1.0
12.41,0.3249264705882353,15.7,1.14,23.44,146.69,308.92,32.85,394.09,1.0
12.41,0.32549019607843166,16.7,0.0,26.71,218.34,314.7,48.8,406.51,1.0
12.46,0.326053921568628,17.63,0.71,27.0,258.29,324.32,54.06,414.2,1.0
12.52,0.32661764705882357,19.34,0.0,24.87,376.45,327.35,77.32,429.17,1.0
12.56,0.3271813725490199,19.58,1.6,18.82,334.16,336.47,63.05,436.57,1.0
12.61,0.3277450980392155,20.72,0.64,17.56,384.64,340.55,71.96,446.04,1.0
12.66,0.3283088235294118,21.86,1.71,17.1,476.24,348.24,86.85,462.16,1.0
12.71,0.32887254901960816,23.0,1.16,12.05,517.8,349.21,93.97,474.6,1.0
-6999.0,0.3294362745098045,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,-6999.0,1.0
12.81,0.33000000000000007,21.73,1.68,21.49,446.79,352.0,80.15,469.57,1.0
12.8,0.3305637254901964,21.9,1.69,23.13,504.93,355.95,90.37,474.36,1.0
12.89,0.331127450980392,23.73,0.66,16.75,551.12,362.1,98.28,491.21,1.0
12.9,0.3316911764705883,24.17,1.5,13.16,914.14,356.86,157.01,528.62,1.0
13.0,0.33225490196078467,24.37,1.33,11.62,551.18,368.66,94.56,509.33,1.0
13.06,0.33281862745098095,24.56,1.68,12.21,846.58,351.52,144.62,529.77,1.0
13.13,0.3333823529411765,25.0,2.19,11.65,730.03,351.08,120.39,530.2,1.0
13.17,0.33394607843137286,25.05,1.85,9.57,606.75,351.22,102.17,519.88,1.0
13.22,0.3345098039215684,25.29,2.29,9.16,900.11,337.47,150.19,537.77,1.0
13.24,0.33507352941176477,25.86,1.51,9.22,763.11,330.66,126.6,535.18,1.0
13.29,0.33563725490196106,25.85,1.39,9.51,381.27,342.14,64.16,502.28,1.0
13.23,0.3362009803921574,25.54,1.11,10.77,380.31,355.31,68.32,492.67,1.0
13.14,0.33676470588235297,25.67,0.55,10.15,303.52,356.87,56.48,482.67,2.0
13.04,0.3373284313725493,24.99,1.26,12.61,188.6,353.89,36.3,462.74,2.0
12.95,0.3378921568627449,24.9,1.4,13.23,216.16,344.23,42.8,461.49,2.0
12.87,0.3384558823529412,24.27,0.65,14.78,98.79,335.84,24.5,442.19,2.0
12.87,0.33901960784313756,23.45,0.91,14.54,44.71,344.37,11.69,423.63,2.0
32.85,0.3395833333333339,22.76,0.83,13.98,4.81,345.52,2.8,391.86,2.0
34.19,0.34014705882352947,22.51,1.0,14.76,0.0,333.65,0.38,387.15,2.0
34.56,0.3407107843137258,22.06,1.43,13.62,0.0,329.34,3.58,384.16,2.0
34.68,0.3412745098039214,21.64,1.03,13.53,0.0,331.81,2.13,382.61,2.0
34.82,0.3418382352941177,19.78,1.39,18.12,0.0,330.08,0.88,378.87,2.0
34.86,0.34240196078431406,20.4,1.65,15.14,0.39,337.94,2.11,378.48,2.0
34.57,0.3429656862745104,18.23,2.65,23.24,0.0,336.38,1.5,377.22,2.0
33.09,0.34352941176470597,18.05,2.04,24.3,0.0,329.98,1.43,375.76,2.0
32.35,0.3440931372549023,17.74,1.44,24.51,0.0,324.83,1.68,372.83,2.0
31.84,0.3446568627450979,18.08,1.21,22.54,0.0,336.1,2.14,373.92,2.0
31.31,0.34522058823529417,19.13,1.62,17.12,0.01,341.44,1.73,375.16,2.0
31.07,0.3457843137254905,18.95,1.27,17.82,0.0,328.77,1.0,373.45,2.0
30.9,0.34634803921568685,18.75,1.02,17.78,0.0,317.02,2.23,370.29,2.0
30.78,0.3469117647058824,17.12,0.66,25.81,0.0,335.09,0.09,369.63,2.0
30.66,0.3474754901960787,15.99,1.6,30.19,0.0,334.87,0.56,370.22,2.0
