30.5,0.847222222,6.711,4.343,51.34,0,272.4811,0.01,329.3216,0
30.4,0.848582176,5.888,4.531,60.58,0,269.351,0,328.1004,0
30.3,0.84994213,3.981,4.959,70.44,0,259.8183,0,323.3442,0
30.3,0.851302083,4.559,4.349,64.85,0,258.6078,0,321.5844,0
30.2,0.852662037,4.167,4.762,64.88,0,254.8332,0,320.1555,0
30.2,0.854021991,4.284,4.997,62.2,0,255.2426,0,320.3574,0
30.2,0.855381944,2.507,4.488,73.17,0,251.3871,0,315.6473,0
30.1,0.856741898,3.498,5.03,63.61,0,258.7686,0,317.4338,0
30.1,0.858101852,2.104,3.355,67.64,0,259.7035,0,313.16,0
30.1,0.859461806,1.132,4.205,76.47,0,255.3313,0,311.4989,0
30.1,0.860821759,1.345,4.203,75.09,0,252.5411,0,310.938,0
30,0.862181713,0.377,2.349,76.18,0,252.2657,0,306.8916,0
30,0.863541667,1.798,4.55,68.5,1.327544,252.9908,2.204752,310.8966,0
30,0.86490162,0.998,3.943,73.1,35.6126,255.2997,11.14643,312.9101,1
30,0.866261574,0.865,1.691,77.08,89.24889,254.2512,26.64954,318.4047,1
30,0.867621528,1.754,1.315,75.91,214.08,258.1256,62.15748,333.4031,1
30,0.868981481,4.077,2.341,62.48,267.6669,275.745,73.7928,348.8131,1
30.1,0.870341435,6.211,1.306,59.67,413.046,274.8483,113.0372,370.416,1
30.1,0.871701389,8.73,1.079,53.55,493.52,280.435,129.3248,392.2997,1
30.2,0.873061343,10.99,0.952,35.84,569.9788,287.2173,144.1274,410.941,1
30.2,0.874421296,11.52,1.282,33.96,615.7159,297.2358,150.5992,424.786,1
30.3,0.87578125,12.26,1.926,34.77,712.6863,300.0094,172.0192,438.3663,1
30.2,0.877141204,13.55,2.378,33.39,778.0336,317.1978,187.1878,451.9339,1
30.2,0.878501157,14.45,2.524,31.65,491.1988,337.0933,116.7135,435.8212,1
30.2,0.879861111,14.88,2.242,30.38,537.3065,344.2398,129.7635,443.2691,1
30.2,0.881221065,15.32,2.315,30.95,404.8411,350.3466,98.13219,430.7337,1
30.2,0.882581019,14.57,2.736,31.76,171.5195,353.0997,40.82792,399.9545,1
30.2,0.883940972,12.53,6.413,44.25,64.88731,353.0986,19.39135,373.129,1
30.2,0.885300926,10.48,5.3,58.74,83.61854,342.6206,23.9791,364.4002,1
30.2,0.88666088,11.18,2.485,54.59,173.0501,344.4234,42.06319,377.5088,1
30.2,0.888020833,10.58,3.596,60.37,155.3431,348.7987,40.75446,373.3559,1
30.2,0.889380787,8.21,7.466,78.3,40.08091,342.1982,11.15187,356.99,1
30.2,0.890740741,6.513,6.409,88.4,71.20193,341.7245,14.56461,352.0573,1
30.2,0.892100694,6.471,5.126,84.5,54.97599,337.5514,12.69021,352.186,1
30.2,0.893460648,6.028,3.964,84.5,47.09678,337.0602,11.18353,349.5299,1
30.3,0.894820602,5.862,2.327,85,41.55045,336.4581,10.2423,350.5337,1
30.6,0.896180556,5.893,2.709,87.6,30.64251,336.7772,7.85712,349.2602,1
31.3,0.897540509,5.341,3.231,89.7,49.78324,336.0266,11.09861,348.0824,1
32.1,0.898900463,5.367,4.341,88,25.95395,334.3908,7.113759,345.6876,1
32.6,0.900260417,4.822,4.027,92,23.1475,333.6003,5.814517,343.8203,1
32.9,0.90162037,4.512,3.602,92.1,9.947955,331.9612,3.632254,341.4609,0
33.3,0.902980324,4.294,3.165,94,0.4889158,331.2183,1.176867,339.8726,0
33.9,0.904340278,4.05,4.146,95.8,0,330.1787,0,338.2717,0
34.6,0.905700231,4.124,3.385,95.7,0,330.6013,0,338.6245,0
35,0.907060185,4.267,2.714,93.3,0,330.2764,0,338.3771,0
35.5,0.908420139,4.136,2.086,95.7,0,330.2993,0,337.8919,0
35.8,0.909780093,4.027,3.059,90.8,0,326.9209,0,336.691,0
35.9,0.911140046,4.141,3.684,88.8,0,327.707,0,336.6106,0
36,0.9125,3.988,4.005,90.4,0,328.4015,0,336.0576,0
36.1,0.913859954,3.833,3.186,91.9,0,327.773,0,335.4828,0
36.3,0.915219907,3.905,3.016,90.4,0,327.1371,0,335.6646,0
